Population,Genotype,Year,Annual Precip (cm),Mean annual temperature,Elevation (m),DBH (cm),Foliar Carbon (%),Foliar Nitrogen (%),Foliar C:N,Soil Carbon (%),Soil Nitrogen (%) from background sources (away from trees to measure underlying soil N gradient),Soil Nitrogen from beneath trees (compared to plant traits),Soil pH,Mean Leaf Area (cm2),Mean leaf mass (g),Foliar N_area (g/m2)
LOG,567,2012,42.9,4,1855.008545,14.64968153,48.59,2.792,17.40483828,3.017,0.281,0.274,7.54,6.948,0.056,2.250165504
LOG,568,2012,43.6,4.6,1689.464355,24.20382166,51.77,2.955,17.52204241,11.348,0.89,0.393,7.3,9.764,0.061,1.836092998
LOG,569,2012,43.6,4.6,1687.905518,44.9044586,48.06,2.737,17.5571625,9.365,0.78,0.406,7.65,12.723,0.072,1.541741554
LOG,570,2012,43.6,4.6,1688.87439,57.00636943,52.03,3.039,17.1202814,4.89,0.277,0.33,9.09,11.447,0.080,2.115044248
LOG,571,2012,43.6,4.6,1690.299316,6.369426752,49.35,2.819,17.50514655,4.362,0.177,0.36,9.28,6.610,0.056,2.388332476
LOG,572,2012,43.6,4.6,1690.338745,42.03821656,51.91,3.136,16.55398891,6.144,0.258,0.319,8.23,8.693,0.043,1.539247341
LOG,573,2012,43.6,4.6,1687.352905,,52.77,3.15,16.7526359,3.061,0.102,0.287,9.17,10.790,0.086,2.510603725
LOG,574,2012,43.6,4.6,1682.584717,9.872611465,51.38,3.311,15.51638085,12.626,0.338,0.261,7.82,10.104,0.105,3.440913605
LOG,575,2012,43.6,4.6,1682.024414,16.87898089,49.76,2.955,16.84161867,13.042,0.527,0.24,7.93,5.778,0.056,2.847001471
LOG,576,2012,43.6,4.6,1683.033081,49.68152866,47.31,2.735,17.29702211,10.944,0.354,0.571,8.03,5.717,0.045,2.152714616
LOG,577,2012,43.6,4.6,1684.643311,14.01273885,53.56,3.444,15.55361356,14.573,0.637,0.34,7.99,8.805,0.072,2.803158787
LOG,578,2012,45.7,4.8,1593.662598,44.26751592,51.67,2.936,17.59943066,7.053,0.125,0.297,9.39,9.329,0.087,2.738140499
LOG,579,2012,45.7,4.8,1564.246704,12.7388535,49.83,2.534,19.6696174,8.117,0.336,0.329,8.09,8.474,0.093,2.771120167
LOG,580,2012,48.9,4.4,1542.982788,31.84713376,49.92,2.459,20.30027353,6.379,0.278,0.333,8.93,7.503,0.051,1.660475262
LOG,581,2012,48.9,4.4,1543.875977,30.57324841,49.44,2.476,19.96848466,7.234,0.324,0.382,8.74,8.402,0.082,2.406611019
LOG,582,2012,48.9,4.4,1543.443237,57.32484076,53.56,2.759,19.41620814,12.103,0.493,0.342,8.75,8.970,0.080,2.460774622
LOG,583,2012,48.9,4.4,1544.83374,41.40127389,51.47,3.085,16.68291051,10.77,0.374,0.4,7.92,6.658,0.041,1.915074693
LOG,584,2012,48.9,4.4,1543.543213,36.30573248,50.64,3.5,14.46925923,9.067,0.264,0.4,8.09,8.821,0.056,2.235272333
LOG,585,2012,54.5,3.4,1517.663452,22.29299363,47.76,2.068,23.09878277,13.236,0.758,0.419,7.67,6.306,0.056,1.847404588
LOG,586,2012,50,5.4,1450.506104,20.70063694,54.36,2.637,20.61691349,,,,,8.550,0.084,2.590878255
LOG,587,2012,50,5.4,1449.143799,78.98089172,51.48,2.622,19.63629723,,,,,11.265,0.102,2.381795533
BL,,2014,,,,,,,,,0.058054887,,,,,
BL,,2014,,,,,,,,,0.074912466,,,,,
